trace_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,dst_ip,sitio_web,msm_id,destination_ip_responded_raw,respondio_destino,ultimo_hop_configurado,ultimo_hop_respondiente,hops_respondientes_unicos,rtt_destino_ms,firma_ip,tiene_hop_255,firma_asn,ultimo_asn_antes_destino
trace-180090809-32877-1784772146-1554,2026-07-22 22:02:26,2026-07-22,22:02:26,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,10.0,5.0,3,93.342,192.168.1.1 > 38.25.128.1 > 206.41.108.77 > 190.168.5.91,True,AS61461,AS61461
trace-180090809-32877-1784815354-1555,2026-07-23 10:02:34,2026-07-23,10:02:34,Matutina (~10:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,10.0,5.0,3,110.469,192.168.1.1 > 38.25.128.1 > 206.41.108.77 > 190.168.5.91,True,AS61461,AS61461
trace-180090809-6978-1784772368-1556,2026-07-22 22:06:08,2026-07-22,22:06:08,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,11.0,11.0,6,12.84,156.154.123.253 > 200.25.30.134 > 206.223.124.135 > 179.1.65.78 > 190.97.228.254 > 190.168.5.91,False,AS16552 > AS7195 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-6978-1784815579-1557,2026-07-23 10:06:19,2026-07-23,10:06:19,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,11.0,11.0,6,32.101,156.154.123.253 > 200.25.30.134 > 206.223.124.135 > 179.1.65.78 > 190.97.228.254 > 190.168.5.91,False,AS16552 > AS7195 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-1011292-1784772200-1558,2026-07-22 22:03:20,2026-07-22,22:03:20,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,10.0,8,78.25,172.17.0.1 > 186.69.158.97 > 10.200.36.106 > 10.104.201.142 > 204.199.157.161 > 4.69.231.114 > 213.248.95.208 > 62.115.177.15 > 190.168.5.91,True,AS14522 > AS3549 > AS3356 > AS1299,AS1299
trace-180090809-1011292-1784815398-1559,2026-07-23 10:03:18,2026-07-23,10:03:18,Matutina (~10:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,10.0,7,97.351,172.17.0.1 > 186.69.158.97 > 10.200.36.106 > 10.104.201.142 > 200.69.177.42 > 204.199.157.161 > 62.115.177.15 > 190.168.5.91,True,AS14522 > AS3549 > AS1299,AS1299
trace-180090809-7594-1784772393-1560,2026-07-22 22:06:33,2026-07-22,22:06:33,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,13,60.217,200.82.230.155 > 10.1.227.41 > 10.1.231.226 > 154.54.167.186 > 154.54.0.222 > 154.24.5.198 > 38.142.164.197 > 179.1.65.78 > 172.24.1.157 > 172.24.0.126 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS21826 > AS174 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-7594-1784815592-1561,2026-07-23 10:06:32,2026-07-23,10:06:32,Matutina (~10:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,13,60.254,200.82.230.155 > 10.1.227.41 > 10.1.231.226 > 154.54.167.186 > 154.54.0.222 > 154.24.5.198 > 38.142.164.197 > 179.1.65.78 > 172.24.1.157 > 172.24.0.126 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS21826 > AS174 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-1003784-1784685810-1562,2026-07-21 22:03:30,2026-07-21,22:03:30,Nocturna (~22:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,15.0,13,14.403,172.18.0.1 > 10.10.80.1 > 186.24.57.241 > 10.4.36.1 > 10.229.55.97 > 172.24.1.202 > 172.24.1.201 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS6306 > AS263703 > AS23007,AS23007
trace-180090809-1003784-1784729003-1563,2026-07-22 10:03:23,2026-07-22,10:03:23,Matutina (~10:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,15.0,13,26.22,172.18.0.1 > 10.10.80.1 > 186.24.57.241 > 10.4.36.1 > 10.229.55.97 > 172.24.1.202 > 172.24.1.201 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS6306 > AS263703 > AS23007,AS23007
