execution_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,src_addr,dst_ip,sitio_web,msm_id,sent,rcvd,estado_ping,alcanzable_icmp,packet_loss_pct,rtt_exec_ms,rtt_avg_ripe_ms,rtt_min_ripe_ms,rtt_max_ripe_ms,n_rtt_validos
ping-180880310-32877-1782309966-1240,2026-06-24 10:06:06,2026-06-24,10:06:06,Matutina (~10:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1003784-1782266637-1241,2026-06-23 22:03:57,2026-06-23,22:03:57,Nocturna (~22:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1003784-1782309835-1242,2026-06-24 10:03:55,2026-06-24,10:03:55,Matutina (~10:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-6978-1782266519-1243,2026-06-23 22:01:59,2026-06-23,22:01:59,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-6978-1782309712-1244,2026-06-24 10:01:52,2026-06-24,10:01:52,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1011292-1782180229-1245,2026-06-22 22:03:49,2026-06-22,22:03:49,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1011292-1782223429-1246,2026-06-23 10:03:49,2026-06-23,10:03:49,Matutina (~10:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,97.104707,97.104707,95.984903,97.788581,3
ping-180880310-6978-1782180113-1247,2026-06-22 22:01:53,2026-06-22,22:01:53,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-6978-1782223314-1248,2026-06-23 10:01:54,2026-06-23,10:01:54,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,32.398104999999994,32.398104999999994,31.546483,33.16795,3
ping-180880310-1014400-1782180234-1249,2026-06-22 22:03:54,2026-06-22,22:03:54,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.153.16.65,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
